"en","zh"
account,账户
cease,终止
turkey,火鸡
impulse,冲量
normally,正常地
property,财产
absolute,绝对的
switch,开关
intelligent,有才智的
depart,离开
expand,扩张
rite,（宗教）仪式
curriculum,全部课程
manifest,清单
strategic,战略的
inject,注入
puzzle,难题
stick,棍
primordial,原始的
raft,木筏
periodic,周期的
sledding,进展
comprehensive,综合的
forage,觅食
forward,向前
technical,技术的
hook,钩
random,随机的
lounge,等候室
flora,植物群
staggered,交错的
pine,松鼠
naval,海军的
avoid,避免
biography,传记
elm,榆树
implicit,隐式的
hardly,几乎不
centigrade,摄氏度的
barbecue,在烤架上烧烤
element,元素
sensory,感官的
yarn,纱
analogy,类比
convenience,便利
publication,出版
compulsory,义务的
pointed,尖的
spread,展开
assemble,集合
clone,复制
discourse,讲述
aquifer,含水土层
reverse,反转
conversion,转换
summary,摘要
carbon,碳
petroleum,石油
accessory,附件
planet,行星
appreciation,欣赏
elongate,延长
oblivious,未注意的
therefore,因此
imagist,意象派的
path,道路
yoke,束缚
abridge,精简
collaborate,协作
adept,内行的
controversial,有争议的
agenda,议程
latitude,纬度
appraise,估价
session,会话
hail,冰雹
aptitude,天资
trifle,琐事
dismiss,解散
archive,存档
browse,浏览
collaborative,协作的
defer,推迟
prefer,宁愿
comprehensible,可理解的
diligent,勤奋的
enlighten,启发
frenzy,疯狂
remarkable,值得注意的
dispatch,分派
